Variable,Year,Province,Value,Admin_Lvl,Region,Unit
Annual Per Capita Poverty Threshold (in Pesos),2021,PHILIPPINES,28871,Country,Philippines,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,NCR,32978,Region,NCR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,1st District,32978,District,NCR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,2nd District,32978,District,NCR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,3rd District,32978,District,NCR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,4th District,32978,District,NCR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,CAR,28304,Region,CAR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Abra,29321,Province,CAR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Apayao,25694,Province,CAR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Benguet,27519,Province,CAR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Ifugao,28734,Province,CAR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Kalinga,25447,Province,CAR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Mt. Province,31063,Province,CAR,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region I,31113,Region,Region I,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Ilocos Norte,31031,Province,Region I,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Ilocos Sur,32752,Province,Region I,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,La Union,27909,Province,Region I,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Pangasinan,31240,Province,Region I,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region II,28292,Region,Region II,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Batanes,35550,Province,Region II,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Cagayan,26954,Province,Region II,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Isabela,29452,Province,Region II,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Nueva Vizcaya,25514,Province,Region II,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Quirino,27060,Province,Region II,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region III,31584,Region,Region III,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Aurora,30282,Province,Region III,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Bataan,31046,Province,Region III,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Bulacan,33591,Province,Region III,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Nueva Ecija,29751,Province,Region III,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Pampanga,33122,Province,Region III,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Tarlac,29704,Province,Region III,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Zambales,33383,Province,Region III,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region IV-A,31059,Region,Region IV-A,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Batangas,30828,Province,Region IV-A,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Cavite,35843,Province,Region IV-A,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Laguna,29892,Province,Region IV-A,in Pesos
